Grid Points,_,_,_
-1.0,-1.0,-1.0,1.3341436391232095
-0.8666666666666667,-1.0,-1.0,1.264671820536841
-0.73333333333333339,-1.0,-1.0,1.2027341196031671
-0.59999999999999998,-1.0,-1.0,1.1495489968704395
-0.46666666666666667,-1.0,-1.0,1.103025313751324
-0.33333333333333337,-1.0,-1.0,1.05752720646764
-0.19999999999999996,-1.0,-1.0,1.0236120979222967
-0.066666666666666652,-1.0,-1.0,1.0024563065576031
0.066666666666666652,-1.0,-1.0,0.99487413829686466
0.19999999999999996,-1.0,-1.0,0.99485917815562397
0.33333333333333326,-1.0,-1.0,0.99485917815562397
0.46666666666666656,-1.0,-1.0,0.99643684481767647
0.60000000000000009,-1.0,-1.0,1.0100498428390872
0.73333333333333339,-1.0,-1.0,1.0396654424362257
0.8666666666666667,-1.0,-1.0,1.0849715825442237
1.0,-1.0,-1.0,1.1441057613771886
-1.0,-0.8666666666666667,-1.0,1.2694913722690975
-0.8666666666666667,-0.8666666666666667,-1.0,1.1930019789561355
-0.73333333333333339,-0.8666666666666667,-1.0,1.1236627982946776
-0.59999999999999998,-0.8666666666666667,-1.0,1.0628741372806974
-0.46666666666666667,-0.8666666666666667,-1.0,1.0121777334438549
-0.33333333333333337,-0.8666666666666667,-1.0,0.96491375550172753
-0.19999999999999996,-0.8666666666666667,-1.0,0.92339931981273127
-0.066666666666666652,-0.8666666666666667,-1.0,0.89554063953311114
0.066666666666666652,-0.8666666666666667,-1.0,0.8826317211786141
0.19999999999999996,-0.8666666666666667,-1.0,0.88178609866810065
0.33333333333333326,-0.8666666666666667,-1.0,0.88178609866810054
0.46666666666666656,-0.8666666666666667,-1.0,0.88222510677146049
0.60000000000000009,-0.8666666666666667,-1.0,0.89636439612425911
0.73333333333333339,-0.8666666666666667,-1.0,0.92960888432504551
0.8666666666666667,-0.8666666666666667,-1.0,0.98001621443140396
1.0,-0.8666666666666667,-1.0,1.0451059462257493
-1.0,-0.73333333333333339,-1.0,1.212868131088042
-0.8666666666666667,-0.73333333333333339,-1.0,1.1291077426964675
-0.73333333333333339,-0.73333333333333339,-1.0,1.0518737903264892
-0.59999999999999998,-0.73333333333333339,-1.0,0.98270627955921219
-0.46666666666666667,-0.73333333333333339,-1.0,0.92467726926685967
