Grid Points,_,_,_
-1.0,-1.0,-1.0,1.3464000490971315
-0.8666666666666667,-1.0,-1.0,1.2903056926371863
-0.73333333333333339,-1.0,-1.0,1.2313632026943542
-0.59999999999999998,-1.0,-1.0,1.1715200584642664
-0.46666666666666667,-1.0,-1.0,1.1151709568988397
-0.33333333333333337,-1.0,-1.0,1.0588218553334132
-0.19999999999999996,-1.0,-1.0,1.0024727537679867
-0.066666666666666652,-1.0,-1.0,0.94710013669046711
0.066666666666666652,-1.0,-1.0,0.90473283770743973
0.19999999999999996,-1.0,-1.0,0.88070420794314752
0.33333333333333326,-1.0,-1.0,0.87652373139974515
0.46666666666666656,-1.0,-1.0,0.8924703676204907
0.60000000000000009,-1.0,-1.0,0.92750655955089123
0.73333333333333339,-1.0,-1.0,0.97958615470757027
0.8666666666666667,-1.0,-1.0,1.0461669114128738
1.0,-1.0,-1.0,1.1246763686194781
-1.0,-0.8666666666666667,-1.0,1.2448710988977125
-0.8666666666666667,-0.8666666666666667,-1.0,1.188560479326596
-0.73333333333333339,-0.8666666666666667,-1.0,1.1322536887366708
-0.59999999999999998,-0.8666666666666667,-1.0,1.0751442865802001
-0.46666666666666667,-0.8666666666666667,-1.0,1.0186630126641933
-0.33333333333333337,-0.8666666666666667,-1.0,0.96231391109876696
-0.19999999999999996,-0.8666666666666667,-1.0,0.90596480953334024
-0.066666666666666652,-0.8666666666666667,-1.0,0.84961570796791386
0.066666666666666652,-0.8666666666666667,-1.0,0.80211826641996242
0.19999999999999996,-0.8666666666666667,-1.0,0.77491425821646642
0.33333333333333326,-0.8666666666666667,-1.0,0.77015976096219296
0.46666666666666656,-0.8666666666666667,-1.0,0.78826110063802057
0.60000000000000009,-0.8666666666666667,-1.0,0.82772013610177497
0.73333333333333339,-0.8666666666666667,-1.0,0.885686874800103
0.8666666666666667,-0.8666666666666667,-1.0,0.95881041516744148
1.0,-0.8666666666666667,-1.0,1.0439105037451752
-1.0,-0.73333333333333339,-1.0,1.1475514746912534
-0.8666666666666667,-0.73333333333333339,-1.0,1.0912023731258265
-0.73333333333333339,-0.73333333333333339,-1.0,1.0348532715604
-0.59999999999999998,-0.73333333333333339,-1.0,0.97850416999497358
-0.46666666666666667,-0.73333333333333339,-1.0,0.92215506842954709
-0.33333333333333337,-0.73333333333333339,-1.0,0.86580596686412048
-0.19999999999999996,-0.73333333333333339,-1.0,0.80945686529869398
-0.066666666666666652,-0.73333333333333339,-1.0,0.75310776373326738
0.066666666666666652,-0.73333333333333339,-1.0,0.70065962953471361
0.19999999999999996,-0.73333333333333339,-1.0,0.66934468752828147
0.33333333333333326,-0.73333333333333339,-1.0,0.66383451291756312
0.46666666666666656,-0.73333333333333339,-1.0,0.68475233910825006
0.60000000000000009,-0.73333333333333339,-1.0,0.72982931349973656
0.73333333333333339,-0.73333333333333339,-1.0,0.7949663158450988
0.8666666666666667,-0.73333333333333339,-1.0,0.8756983586650815
1.0,-0.73333333333333339,-1.0,0.96813188304314279
-1.0,-0.59999999999999998,-1.0,1.0524576863270563
