Grid Points,_,_,_
-1.0,-1.0,-1.0,1.3386027673656367
-0.8666666666666667,-1.0,-1.0,1.2546933818923249
-0.73333333333333339,-1.0,-1.0,1.170783996419013
-0.59999999999999998,-1.0,-1.0,1.0868746109457017
-0.46666666666666667,-1.0,-1.0,1.0049829199624656
-0.33333333333333337,-1.0,-1.0,0.93415361774738515
-0.19999999999999996,-1.0,-1.0,0.87798112123230077
-0.066666666666666652,-1.0,-1.0,0.83941305236795272
0.066666666666666652,-1.0,-1.0,0.82093437696724214
0.19999999999999996,-1.0,-1.0,0.82389792185868538
0.33333333333333326,-1.0,-1.0,0.84807893238488263
0.46666666666666656,-1.0,-1.0,0.89175306056254189
0.60000000000000009,-1.0,-1.0,0.95224194511993332
0.73333333333333339,-1.0,-1.0,1.0265775560689423
0.8666666666666667,-1.0,-1.0,1.1119864166250981
1.0,-1.0,-1.0,1.2000322021902845
-1.0,-0.8666666666666667,-1.0,1.269267814243098
-0.8666666666666667,-0.8666666666666667,-1.0,1.185358428769786
-0.73333333333333339,-0.8666666666666667,-1.0,1.1014490432964743
-0.59999999999999998,-0.8666666666666667,-1.0,1.017539657823163
-0.46666666666666667,-0.8666666666666667,-1.0,0.93366043216107786
-0.33333333333333337,-0.8666666666666667,-1.0,0.85695630852305094
-0.19999999999999996,-0.8666666666666667,-1.0,0.7953502262571216
-0.066666666666666652,-0.8666666666666667,-1.0,0.75255923730468566
0.066666666666666652,-0.8666666666666667,-1.0,0.7318909648667079
0.19999999999999996,-0.8666666666666667,-1.0,0.73521351919696609
0.33333333333333326,-0.8666666666666667,-1.0,0.76221323048213308
0.46666666666666656,-0.8666666666666667,-1.0,0.81052739262136408
0.60000000000000009,-0.8666666666666667,-1.0,0.87663895373906375
0.73333333333333339,-0.8666666666666667,-1.0,0.95686603649173863
0.8666666666666667,-0.8666666666666667,-1.0,1.047971814471006
1.0,-0.8666666666666667,-1.0,1.128846904462653
-1.0,-0.73333333333333339,-1.0,1.1999328611205593
-0.8666666666666667,-0.73333333333333339,-1.0,1.1160234756472474
-0.73333333333333339,-0.73333333333333339,-1.0,1.0321140901739356
-0.59999999999999998,-0.73333333333333339,-1.0,0.94820470470062423
-0.46666666666666667,-0.73333333333333339,-1.0,0.8642953192273124
-0.33333333333333337,-0.73333333333333339,-1.0,0.78232010192167112
-0.19999999999999996,-0.73333333333333339,-1.0,0.71430568355609059
-0.066666666666666652,-0.73333333333333339,-1.0,0.66633027306726011
0.066666666666666652,-0.73333333333333339,-1.0,0.64289580151592229
0.19999999999999996,-0.73333333333333339,-1.0,0.64667576571514307
0.33333333333333326,-0.73333333333333339,-1.0,0.67721461581635167
0.46666666666666656,-0.73333333333333339,-1.0,0.73116706801036013
0.60000000000000009,-0.73333333333333339,-1.0,0.8038323720565127
0.73333333333333339,-0.73333333333333339,-1.0,0.89064203749019655
0.8666666666666667,-0.73333333333333339,-1.0,0.97732571455656658
1.0,-0.73333333333333339,-1.0,1.0603927928473091
-1.0,-0.59999999999999998,-1.0,1.1305979079980202
-0.8666666666666667,-0.59999999999999998,-1.0,1.0466885225247087
-0.73333333333333339,-0.59999999999999998,-1.0,0.96277913705139673
-0.59999999999999998,-0.59999999999999998,-1.0,0.87886975157808522
-0.46666666666666667,-0.59999999999999998,-1.0,0.7949603661047735
-0.33333333333333337,-0.59999999999999998,-1.0,0.71105098063146177
-0.19999999999999996,-0.59999999999999998,-1.0,0.63545474323524109
-0.066666666666666652,-0.59999999999999998,-1.0,0.58100443539229663
0.066666666666666652,-0.59999999999999998,-1.0,0.55397214076741474
